number,title,type,description,Measured/Calculated,table_reference,normalization_constant
175,UKAEA_616_DEMO-HCPB-VV,UKAEA_FUS,DEMO-HCPB-VV spectra in 616 energy groups,M,1000,244718969002.1599
166,UKAEA_150_NIF-ignition,UKAEA_FUS,NIF-ignition spectra in 150 energy groups,M,1000,3.713704907864245e+19
173,UKAEA_616_DEMO-HCPB-BP,UKAEA_FUS,DEMO-HCPB-BP spectra in 616 energy groups,M,1000,11241045700205.229
183,UKAEA_616_WCLL-VV,UKAEA_FUS,WCLL-VV spectra in 616 energy groups,M,1000,28656357090.0
179,UKAEA_616_HCPB-VV,UKAEA_FUS,HCPB-VV spectra in 616 energy groups,M,1000,367425175149.3499
181,UKAEA_616_WCCB-VV,UKAEA_FUS,WCCB-VV spectra in 616 energy groups,M,1000,1491808110.0899992
171,UKAEA_175_JAEA-FNS,UKAEA_FUS,JAEA-FNS spectra in 175 energy groups,M,1000,11167935375.7
169,UKAEA_175_ITER-DD,UKAEA_FUS,ITER-DD spectra in 175 energy groups,M,1000,1066346176999.9998
167,UKAEA_161_LMJ-g,UKAEA_FUS,LMJ-g spectra in 161 energy groups,M,1000,10967588.82351793
170,UKAEA_175_ITER-DT,UKAEA_FUS,ITER-DT spectra in 175 energy groups,M,1000,209860029020000.2
178,UKAEA_616_HCPB-FW,UKAEA_FUS,HCPB-FW spectra in 616 energy groups,M,1000,660094602990299.6
174,UKAEA_616_DEMO-HCPB-FW,UKAEA_FUS,DEMO-HCPB-FW spectra in 616 energy groups,M,1000,504219277189605.94
172,UKAEA_175_TUD-NG,UKAEA_FUS,TUD-NG spectra in 175 energy groups,M,1000,0.99996721773
182,UKAEA_616_WCLL-FW,UKAEA_FUS,WCLL-FW spectra in 616 energy groups,M,1000,748675902474000.4
176,UKAEA_616_HCLL-FW,UKAEA_FUS,HCLL-FW spectra in 616 energy groups,M,1000,871293707054000.0
168,UKAEA_175_Frascati-NG,UKAEA_FUS,Frascati-NG spectra in 175 energy groups,M,1000,0.025853560224818
165,UKAEA_100_JET-FW,UKAEA_FUS,JET-FW spectra in 100 energy groups,M,1000,38435967000.00001
180,UKAEA_616_WCCB-FW,UKAEA_FUS,WCCB-FW spectra in 616 energy groups,M,1000,379417193867000.06
177,UKAEA_616_HCLL-VV,UKAEA_FUS,HCLL-VV spectra in 616 energy groups,M,1000,14240567566673.697
